agent_id,company_NIF,company_value,total_value_in_stocks,company_percentage,declaration_date
A0184,100000163,5896108.6,66808.39,31.84,2025-10-20
A0185,100000173,39140954.49,371871.83,59.96,2022-02-15
A0185,100000049,12118576.64,91140.89,27.97,2025-12-02
A0185,100000071,45060862.21,223873.29,12.95,2020-04-12
A0186,100000135,28708786.35,21554.98,19.32,2023-07-17
A0187,100000126,22325151.76,174795.34,49.31,2024-12-23
A0188,100000065,46176334.38,343411.0,32.89,2019-01-27
A0188,100000069,1111060.52,0.0,45.01,2018-08-31
A0188,100000191,2774253.07,0.0,44.08,2022-12-26
A0189,100000105,12683643.86,13370.12,2.8,2019-05-19
A0189,100000013,16305080.5,264166.25,43.62,2018-06-15
A0189,100000113,30756090.83,0.0,46.15,2019-10-13
A0190,100000134,9646783.31,0.0,44.46,2024-04-20
A0190,100000128,17179297.27,40032.33,39.74,2021-06-05
A0190,100000039,11100494.66,9008.01,27.26,2020-12-31
A0190,100000066,35847902.03,138850.28,59.69,2024-06-16
A0191,100000095,42782121.1,117149.32,6.98,2024-09-09
A0191,100000122,40809942.05,0.0,41.41,2022-07-29
A0192,100000070,47042777.44,760130.79,26.78,2023-09-15
A0192,100000118,35410074.21,0.0,50.2,2025-06-25
A0192,100000186,33674425.37,0.0,14.68,2018-10-02
A0193,100000179,48722023.75,0.0,19.42,2025-10-21
A0194,100000090,29914451.96,0.0,38.89,2022-10-28
A0194,100000177,23519940.85,0.0,48.41,2024-04-05
A0195,100000049,1099101.56,18313.08,42.91,2025-02-14
A0195,100000027,46490944.52,71483.98,28.58,2025-11-09
A0195,100000005,48187624.6,147173.51,15.51,2019-10-09
