agent_id,company_NIF,total_value_in_stocks,company_percentage,declaration_date
A00056,100000092,130497.65,18.42,2018-01-22
A00056,100000092,131025.7,2.5,2019-02-14
A00056,100000092,131553.76,1.98,2020-06-13
A00044,100000033,174997.8,24.41,2022-04-10
A00044,100000033,169382.08,8.75,2023-11-05
A00044,100000033,163766.35,4.96,2026-02-04
A00049,100000011,145244.35,24.91,2018-11-03
A00049,100000011,166236.18,24.38,2019-11-26
A00049,100000011,187228.01,16.43,2023-06-13
A00049,100000011,208219.84,5.39,2024-05-24
A00049,100000011,229211.67,17.17,2024-06-14
A00040,100000008,44697.76,4.77,2023-06-06
A00040,100000008,58315.86,24.04,2023-11-11
A00032,100000009,87971.2,9.59,2020-08-14
A00032,100000009,84889.9,24.7,2023-06-01
A00032,100000009,81808.6,1.48,2023-09-03
A00121,100000007,117841.7,18.27,2022-09-09
A00121,100000007,115386.32,12.42,2026-03-14
A00015,100000027,132726.82,7.45,2021-12-12
A00015,100000027,137648.15,9.3,2022-12-03
A00015,100000027,142569.49,9.9,2024-07-10
A00015,100000027,147490.82,11.91,2025-03-10
A00015,100000027,152412.15,20.98,2026-02-27
A00026,100000010,182261.34,6.32,2020-03-04
A00026,100000010,175855.0,24.3,2023-11-18
A00026,100000010,169448.67,4.93,2025-12-24
A00018,100000033,83979.06,14.7,2019-07-07
A00018,100000033,84908.24,16.73,2022-03-06
A00018,100000033,85837.42,2.83,2023-01-26
A00018,100000033,86766.61,16.48,2024-06-23
A00018,100000033,87695.79,8.15,2025-11-24
A00052,100000087,68412.06,3.71,2018-01-28
A00052,100000087,72058.37,24.26,2018-09-18
A00052,100000087,75704.68,11.62,2021-06-06
A00052,100000087,79350.99,6.28,2023-10-15
A00047,100000051,70715.62,11.06,2018-09-27
A00047,100000051,74004.45,6.59,2019-09-22
A00047,100000051,77293.29,15.62,2022-06-17
A00047,100000051,80582.12,17.82,2023-06-17
A00047,100000051,83870.95,4.59,2025-03-24
A00059,100000037,109034.83,17.78,2021-07-31
A00059,100000037,168760.15,11.44,2023-05-11
A00059,100000037,228485.47,21.67,2023-06-27
A00059,100000037,288210.79,14.17,2023-07-14
A00059,100000037,347936.12,13.73,2025-06-27
A00009,100000071,187638.11,3.49,2020-08-26
A00009,100000071,183031.55,11.58,2021-08-09
A00009,100000071,178424.98,23.38,2023-04-24
A00009,100000071,173818.42,8.25,2024-07-09
A00009,100000071,169211.85,12.93,2025-01-02
A00084,100000075,82488.9,17.31,2019-05-05
A00084,100000075,159674.49,0.93,2020-11-01
A00084,100000075,236860.09,8.42,2021-05-14
A00062,100000064,135038.53,1.23,2020-07-07
A00062,100000064,131435.04,8.04,2021-04-23
A00062,100000064,127831.56,17.76,2021-05-31
A00062,100000064,124228.07,5.45,2024-10-10
A00062,100000064,120624.58,17.0,2024-12-17
A00084,100000029,35451.95,24.1,2018-05-09
A00084,100000029,32797.56,6.76,2020-10-11
A00084,100000029,30143.18,16.71,2021-09-26
A00084,100000029,27488.79,24.48,2022-12-05
A00084,100000029,24834.4,9.67,2023-07-27
A00019,100000093,27056.41,23.01,2018-10-30
A00019,100000093,30996.55,15.21,2019-08-11
A00019,100000093,34936.69,23.55,2023-12-02
A00019,100000093,38876.83,20.76,2025-08-23
A00025,100000098,25785.64,24.99,2020-12-28
A00025,100000098,127883.98,1.68,2021-08-20
A00025,100000098,229982.33,24.44,2024-08-05
A00046,100000071,22643.93,3.17,2019-11-19
A00046,100000071,19826.41,16.44,2021-01-17
A00046,100000071,17008.88,19.25,2025-03-17
A00046,100000071,14191.35,23.18,2025-09-29
A00029,100000020,164477.67,13.84,2018-01-19
A00029,100000020,160679.76,0.64,2020-04-30
A00029,100000020,156881.85,8.45,2020-09-27
A00029,100000020,153083.94,9.48,2021-10-20
A00029,100000020,149286.03,10.21,2024-09-10
A00085,100000009,92495.26,9.64,2020-07-05
A00085,100000009,87246.14,6.07,2025-04-06
A00085,100000009,81997.02,2.29,2025-11-15
A00120,100000064,102586.84,23.81,2020-08-19
A00120,100000064,103151.68,21.26,2025-11-29
A00120,100000064,103716.53,22.9,2025-12-24
A00120,100000064,104281.38,20.44,2026-03-09
A00091,100000092,123541.49,20.42,2018-01-12
A00091,100000092,126190.33,18.09,2018-10-31
A00091,100000092,128839.16,23.91,2019-10-27
A00091,100000092,131487.99,0.95,2021-03-02
A00091,100000092,134136.82,5.3,2022-10-30
A00096,100000093,131257.57,6.47,2018-12-02
A00096,100000093,147178.79,23.21,2020-10-11
A00135,100000009,42938.87,15.63,2018-05-21
A00135,100000009,38489.96,13.32,2018-11-20
A00135,100000009,34041.05,16.92,2019-04-15
A00135,100000009,29592.14,23.28,2020-02-28
A00029,100000047,65705.0,18.05,2021-03-25
A00029,100000047,67911.68,7.18,2022-07-30
A00029,100000047,70118.35,10.63,2024-05-27
A00037,100000099,40994.1,19.94,2018-12-16
A00037,100000099,38264.48,5.04,2020-11-28
A00037,100000099,35534.85,22.98,2021-07-10
A00037,100000099,32805.23,10.9,2026-02-04
A00038,100000029,13465.44,23.81,2021-04-10
A00038,100000029,79226.24,15.24,2021-11-09
A00038,100000029,144987.03,20.57,2022-12-04
A00038,100000029,210747.83,22.16,2023-01-20
A00076,100000067,85150.55,22.55,2018-01-10
A00076,100000067,89682.04,9.16,2019-06-05
A00076,100000067,94213.52,6.3,2020-09-10
A00076,100000067,98745.0,19.62,2022-12-12
A00093,100000052,165409.79,16.85,2018-02-19
A00093,100000052,304056.5,2.84,2025-06-04
A00123,100000086,37762.77,21.64,2019-08-04
A00123,100000086,42500.25,5.81,2022-01-02
A00123,100000086,47237.72,2.85,2024-04-08
A00014,100000043,45206.3,6.79,2020-09-14
A00014,100000043,47965.52,15.98,2024-10-02
A00014,100000043,50724.73,1.93,2025-10-23
A00024,100000005,31605.75,10.41,2020-02-09
A00024,100000005,35508.64,10.99,2020-07-09
A00024,100000005,39411.53,18.08,2021-09-05
A00050,100000014,146246.07,7.22,2019-12-01
A00050,100000014,147029.94,2.45,2020-09-25
A00050,100000014,147813.81,2.6,2022-05-23
A00050,100000014,148597.68,22.41,2024-06-07
A00050,100000014,149381.55,5.2,2024-11-11
A00128,100000033,71994.29,11.34,2021-10-08
A00128,100000033,168396.1,20.88,2023-03-30
A00128,100000033,264797.91,16.91,2025-05-19
A00021,100000070,57873.75,17.16,2018-06-09
A00021,100000070,59729.99,6.16,2024-01-06
A00021,100000070,61586.23,11.69,2024-10-11
A00067,100000069,198857.18,14.17,2018-12-08
A00067,100000069,205330.74,18.4,2021-02-27
A00102,100000057,39184.07,5.42,2018-04-26
A00102,100000057,41084.12,13.63,2019-10-24
A00102,100000057,42984.17,2.87,2022-01-05
A00102,100000057,44884.22,11.53,2022-12-27
A00102,100000057,46784.27,19.03,2024-11-05
A00011,100000028,79592.62,24.37,2019-10-19
A00011,100000028,75790.91,0.99,2021-11-24
A00011,100000028,71989.2,18.56,2022-08-07
A00011,100000028,68187.49,19.33,2023-04-16
A00011,100000028,64385.78,6.47,2025-01-06
A00034,100000059,22379.26,3.63,2018-05-29
A00034,100000059,25782.87,20.74,2018-10-13
A00034,100000059,29186.48,19.66,2021-01-12
A00034,100000059,32590.08,17.86,2024-09-19
A00056,100000087,79277.36,6.36,2019-04-26
A00056,100000087,77740.58,12.99,2022-05-21
A00056,100000087,76203.79,20.72,2022-08-14
A00056,100000087,74667.01,7.35,2023-12-02
A00056,100000087,73130.23,23.59,2025-08-28
A00039,100000040,198470.81,5.61,2018-09-19
A00039,100000040,201985.06,23.3,2018-11-07
A00039,100000040,205499.31,3.35,2019-02-10
A00039,100000040,209013.56,20.53,2021-12-13
A00039,100000040,212527.81,9.83,2023-12-31
A00053,100000008,32549.22,20.56,2018-05-14
A00053,100000008,21028.52,8.4,2022-08-21
A00059,100000014,48604.81,14.54,2018-05-10
A00059,100000014,57751.27,23.35,2025-03-10
A00059,100000014,66897.73,14.59,2025-12-16
A00023,100000073,99977.07,19.24,2018-04-05
A00023,100000073,101039.6,4.78,2018-06-13
A00023,100000073,102102.13,12.81,2021-08-05
A00023,100000073,103164.66,10.27,2024-04-19
A00023,100000073,104227.19,4.09,2025-11-09
A00100,100000031,20593.25,3.49,2019-06-21
A00100,100000031,23360.49,15.06,2020-08-21
A00100,100000031,26127.72,23.44,2022-05-23
A00100,100000031,28894.96,21.96,2024-12-04
A00100,100000031,31662.2,7.3,2026-02-12
A00065,100000081,5064.84,15.26,2019-01-25
A00065,100000081,30017.43,9.44,2024-10-30
A00090,100000069,16341.94,1.92,2022-03-21
A00090,100000069,21290.6,17.53,2023-05-08
A00090,100000069,26239.27,24.6,2024-05-23
A00090,100000069,31187.93,6.36,2024-07-20
A00090,100000069,36136.59,3.99,2025-09-26
A00078,100000025,139971.46,12.98,2018-07-09
A00078,100000025,135594.38,24.92,2020-06-01
A00078,100000025,131217.3,20.44,2021-03-25
A00078,100000025,126840.22,15.57,2021-09-14
A00078,100000025,122463.13,8.0,2024-04-29
A00027,100000048,107773.09,3.7,2019-02-24
A00027,100000048,247076.43,22.22,2020-03-30
A00010,100000089,76713.07,20.77,2020-02-07
A00010,100000089,75568.14,18.47,2022-05-17
A00010,100000089,74423.2,19.35,2023-08-07
A00010,100000089,73278.26,0.77,2024-12-05
A00122,100000023,159115.86,17.18,2019-01-21
A00122,100000023,160211.17,5.15,2022-05-17
A00122,100000023,161306.48,15.66,2024-04-12
A00122,100000023,162401.79,8.43,2024-09-18
A00012,100000097,192117.45,3.19,2018-08-30
A00012,100000097,191995.99,13.93,2023-07-03
A00012,100000097,191874.53,11.63,2023-07-14
A00012,100000097,191753.07,21.19,2024-07-13
A00012,100000097,191631.61,2.9,2024-12-15
A00117,100000007,148784.63,9.71,2019-06-30
A00117,100000007,148544.81,10.16,2019-09-16
A00117,100000007,148304.99,11.76,2022-05-07
A00117,100000007,148065.17,19.73,2022-09-28
A00117,100000007,147825.36,22.36,2025-01-01
A00005,100000011,133444.97,20.32,2018-01-17
A00005,100000011,142301.59,2.37,2018-04-15
A00005,100000011,151158.21,7.34,2024-02-18
A00066,100000025,133574.01,16.1,2018-08-30
A00066,100000025,137525.19,15.54,2019-12-16
A00066,100000025,141476.37,2.13,2020-01-29
A00066,100000025,145427.55,13.2,2020-02-28
A00066,100000025,149378.72,4.18,2024-03-29
A00005,100000075,91438.25,1.43,2021-12-10
A00005,100000075,108134.57,18.78,2024-11-01
A00005,100000075,124830.88,16.65,2026-03-07
A00007,100000027,148814.13,7.77,2018-05-28
A00007,100000027,146857.48,9.07,2019-02-12
A00007,100000027,144900.83,19.48,2022-07-27
A00007,100000027,142944.19,16.7,2025-06-04
A00068,100000000,133759.03,6.99,2019-07-17
A00068,100000000,192265.12,1.01,2020-02-12
A00068,100000000,250771.2,2.51,2021-07-08
A00068,100000000,309277.29,24.21,2024-10-25
A00068,100000000,367783.38,7.74,2025-01-31
A00130,100000030,45109.02,15.57,2018-12-26
A00130,100000030,41322.88,19.48,2020-07-09
A00130,100000030,37536.74,16.28,2024-07-04
A00130,100000030,33750.61,13.49,2024-11-15
A00130,100000030,29964.47,1.53,2026-03-29
A00080,100000047,160749.27,24.51,2019-01-05
A00080,100000047,152462.15,15.25,2022-12-07
A00132,100000038,35544.5,3.21,2021-08-04
A00132,100000038,30981.85,15.16,2022-09-13
A00132,100000038,26419.21,2.83,2024-01-17
A00132,100000038,21856.56,9.71,2024-07-26
A00132,100000038,17293.92,13.98,2026-01-18
A00049,100000063,136816.54,0.81,2022-10-15
A00049,100000063,136763.85,24.81,2023-06-27
A00049,100000063,136711.15,16.95,2024-09-27
A00049,100000063,136658.46,8.26,2025-10-08
A00080,100000056,54187.0,11.78,2018-02-08
A00080,100000056,56737.42,21.13,2020-02-19
A00080,100000056,59287.84,18.35,2021-06-10
A00080,100000056,61838.26,19.52,2024-12-19
A00080,100000056,64388.68,16.58,2026-03-10
A00133,100000001,151871.53,13.72,2018-09-13
A00133,100000001,147258.16,18.33,2019-08-21
A00133,100000001,142644.78,3.14,2024-02-29
A00043,100000050,103641.28,18.45,2018-08-01
A00043,100000050,107048.31,13.78,2018-10-10
A00043,100000050,110455.34,14.96,2019-04-08
A00043,100000050,113862.37,12.95,2022-01-26
A00043,100000050,117269.4,7.79,2024-10-19
A00105,100000070,23282.6,21.99,2018-01-23
A00105,100000070,24826.06,11.13,2023-08-29
A00105,100000070,26369.51,4.44,2024-09-26
A00073,100000097,146660.03,2.93,2023-03-15
A00073,100000097,166332.43,10.34,2023-12-17
A00090,100000062,124920.76,9.69,2020-05-23
A00090,100000062,126799.6,13.7,2021-11-29
A00090,100000062,128678.44,13.34,2024-03-28
A00090,100000062,130557.28,21.28,2024-06-07
A00090,100000062,132436.12,21.08,2024-11-25
A00011,100000057,44483.71,9.51,2023-06-21
A00011,100000057,62806.65,8.51,2024-03-06
A00116,100000024,96712.22,3.56,2020-10-11
A00116,100000024,257286.28,9.94,2022-11-14
A00022,100000079,120643.65,10.61,2020-10-10
A00022,100000079,153050.44,17.54,2020-11-09
A00022,100000079,185457.24,0.58,2021-03-01
A00022,100000079,217864.04,15.68,2023-04-14
A00022,100000079,250270.84,9.21,2025-01-27
A00086,100000029,119699.44,16.24,2020-07-29
A00086,100000029,119318.9,2.09,2020-12-16
A00086,100000029,118938.36,14.71,2024-05-09
A00035,100000034,136911.25,7.11,2020-12-14
A00035,100000034,139961.14,20.71,2024-12-22
A00035,100000034,143011.03,12.71,2025-01-27
A00035,100000034,146060.92,2.39,2025-09-14
A00035,100000034,149110.81,1.93,2026-01-26
A00119,100000006,196483.99,20.72,2019-06-26
A00119,100000006,235861.87,13.25,2021-01-04
A00119,100000006,275239.75,9.65,2021-02-06
A00012,100000035,148423.59,9.6,2018-07-02
A00012,100000035,137857.9,2.03,2021-10-05
A00078,100000091,148055.09,4.75,2019-04-21
A00078,100000091,145381.0,16.12,2020-08-28
A00078,100000091,142706.91,12.66,2021-08-19
A00078,100000091,140032.83,4.87,2025-09-11
A00114,100000093,79847.43,14.9,2019-02-03
A00114,100000093,80566.15,5.02,2022-05-02
A00114,100000093,81284.87,9.37,2022-09-30
A00114,100000093,82003.59,8.7,2023-10-27
A00114,100000093,82722.32,1.14,2023-12-12
A00109,100000061,106025.36,23.55,2023-03-01
A00109,100000061,103341.7,6.85,2023-07-22
A00109,100000061,100658.04,11.03,2024-04-20
A00109,100000061,97974.38,21.88,2025-07-20
A00134,100000079,161515.45,12.33,2021-10-04
A00134,100000079,160679.18,3.77,2023-05-11
A00134,100000079,159842.92,2.47,2023-06-27
A00021,100000010,147254.1,4.39,2019-10-03
A00021,100000010,149909.23,15.45,2020-10-06
A00021,100000010,152564.36,3.82,2025-08-22
A00021,100000010,155219.49,18.91,2025-10-10
A00021,100000010,157874.62,16.6,2026-02-26
A00072,100000093,16125.67,6.91,2019-07-02
A00072,100000093,13221.5,6.55,2021-12-02
A00072,100000093,10317.33,22.7,2025-08-04
A00072,100000093,7413.15,6.61,2026-02-21
A00042,100000027,17746.4,1.32,2018-07-24
A00042,100000027,69919.71,2.04,2019-08-05
A00042,100000027,122093.02,22.71,2022-06-30
A00042,100000027,174266.33,3.91,2023-07-08
A00006,100000004,9255.56,24.1,2019-11-21
A00006,100000004,10893.46,14.22,2021-11-23
A00006,100000004,12531.36,23.45,2023-07-04
A00006,100000004,14169.25,1.78,2024-02-22
A00006,100000004,15807.15,10.76,2025-05-10
A00117,100000027,196352.93,16.53,2018-06-14
A00117,100000027,193106.67,5.35,2020-06-14
A00117,100000027,189860.4,14.35,2021-08-29
A00117,100000027,186614.14,11.87,2023-12-30
A00009,100000025,27248.68,6.02,2019-01-19
A00009,100000025,23761.15,6.65,2020-05-02
A00009,100000025,20273.61,21.34,2023-02-24
A00009,100000025,16786.08,14.25,2023-04-16
A00009,100000025,13298.55,13.32,2024-10-28
A00120,100000061,18195.33,13.82,2019-07-27
A00120,100000061,20966.47,2.5,2023-09-07
A00120,100000061,23737.6,11.73,2023-09-22
A00120,100000061,26508.73,12.38,2026-03-21
A00107,100000096,134516.64,2.89,2020-05-02
A00107,100000096,123160.26,21.62,2022-03-18
A00060,100000020,162248.71,1.77,2018-12-10
A00060,100000020,199395.5,19.76,2019-03-11
A00060,100000020,236542.29,5.43,2019-08-11
A00060,100000020,273689.08,6.84,2019-09-29
A00060,100000020,310835.87,4.54,2021-08-10
A00084,100000028,152566.54,5.52,2020-12-27
A00084,100000028,153341.98,22.01,2024-08-27
A00053,100000076,174762.79,11.56,2022-10-16
A00053,100000076,164314.64,24.63,2025-04-29
A00095,100000055,95466.62,13.7,2019-03-23
A00095,100000055,186993.84,12.7,2020-05-30
A00095,100000055,278521.06,3.08,2022-11-19
A00095,100000055,370048.28,16.59,2023-10-15
A00074,100000016,23214.55,5.29,2021-04-16
A00074,100000016,22036.0,5.07,2024-08-23
A00074,100000016,20857.44,2.8,2025-04-02
A00112,100000000,152708.97,8.15,2019-04-21
A00112,100000000,143766.64,16.25,2024-12-30
A00017,100000012,108940.63,17.55,2023-05-22
A00017,100000012,173167.98,19.93,2024-04-04
A00115,100000062,172149.96,7.28,2020-04-27
A00115,100000062,188395.69,24.6,2025-09-23
A00034,100000020,40923.84,16.53,2020-10-11
A00034,100000020,48803.64,4.23,2024-03-17
A00034,100000020,56683.43,11.29,2026-02-24
A00134,100000072,177071.19,12.88,2022-11-17
A00134,100000072,183143.26,24.19,2022-12-16
A00134,100000072,189215.33,10.74,2024-08-10
A00090,100000027,135244.4,4.57,2020-10-09
A00090,100000027,140631.25,22.11,2023-03-26
A00068,100000041,30316.16,2.78,2018-09-04
A00068,100000041,34053.38,1.22,2022-05-14
A00068,100000041,37790.6,20.66,2022-10-25
A00074,100000098,70683.9,23.0,2018-08-15
A00074,100000098,66613.69,3.21,2025-05-16
A00074,100000098,62543.49,19.11,2025-07-11
